date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
10/30/2022,Bike Erg,"2 Sets 3 Min at RPE6.5, 1 Min at Easy5 Min at RPE6.5, 1 Min at Easy4 Min at RPE6.5*Rest 3 Min between sets.Total Time: 31:00 (including rest)",15740,15740,Meters,,"[{""meters"":15740}]",6:07 time 5 km Test98 RPM,RX,
11/01/2022,Pebbles Flintstone (Open & QuarterFinals),Masters 35-4442-30-18Deadlift (155/105)Box jump Overs (24/20)Masters 45-5442-30-18Deadlift (135/95)Box jump Overs (24/20)Masters 55-6442-30-18Deadlift (115/80)Box Step Overs (24/20)Masters 65+42-30-18Deadlift (95/65)Box Step Overs (24/20),602,10:02,,,"[{""secs"":2,""mins"":10}]",Masters 45-50135 lbs,RX,
11/03/2022,Bike Erg,"5 Min at RPE6.5 -Rest 1 Min- 3x (75 Sec at RPE8.5, 1:45 at RPE3)-Rest 1 Min-5 Min at RPE6.5 -Rest 1 Min- 3x (75 Sec at RPE8.5, 1:45 at RPE3)-Rest 1 Min-5 Min at RPE6.5Total Time: 37:00 (including rest)",18760,18760,Meters,,"[{""meters"":18760}]",263 kcal37 minutes,RX,
11/07/2022,Bike Erg,Bike Erg 5k at max effort,428,07:08,,,"[{""secs"":8,""mins"":7}]",80 RPM,RX,
11/08/2022,Row: Anaerobic Power Workouts,5 Sets 200m at RPE8 100m RPE3100m at RPE10 *Rest 2-3 Min between sets.,1143,19:03,,,"[{""secs"":3,""mins"":19}]",32 al RPE812 al RPE340 al RPE10level 7 ,RX,
12/05/2022,1 1/4 Front Squat 3-3-3-3-3,3 1 ¼ Front Squats @ 65% 1 RM Front Squat3 1 ¼ Front Squats @ 70% 1 RM Front Squat3 1 ¼ Front Squats @ 75% 1 RM Front Squat3 1 ¼ Front Squats @ 78% 1 RM Front Squat3 1 ¼ Front Squats @ 80-85% 1 RM Front Squat,115,115,Load,Clean Pull + Hang Power Clean to Parallel + Floating Clean + Push Jerk + Jerk,"[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115}]",,SCALED,
12/05/2022,2 Position Snatch (Above Knee + Floor) 2-2-2-2-2,2 Position Snatch @ 60% 1 RM Snatch2 Position Snatch @ 65% 1 RM Snatch2 Position Snatch @ 68% 1 RM Snatch2 Position Snatch @ 70% 1 RM Snatch2 Position Snatch @ 73-75% 1 RM SnatchAbove Knee + Floor,95,95,Load,2 Position Snatch (Above Knee + Floor),"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95}]",,SCALED,
12/05/2022,Hunsucker & Malone  (Open & QuarterFinals),Masters 35-445 rounds24 Deadlifts (95/65)18 Hang power cleans (95/65)12 Push jerks (95/65)Masters 45-54Complete as written aboveMasters 55-645 rounds24 Deadlifts (65/45)18 Hang power cleans (65/45)12 Push jerks (65/45)Masters 65+Complete the same as 55-64,780,13:00,,,"[{""secs"":0,""mins"":13}]",3 rounds + 32 reps,RX,
12/05/2022,Snatch Push Press + Pause Overhead Squat + Pause Snatch Balance 5-5-4-4-3,3 Snatch Push Press + 1 Pause OHS + 1 Pause Snatch Balance @ 60% 1 RM Snatch3 Snatch Push Press + 1 Pause OHS + 1 Pause Snatch Balance @ 65% 1 RM Snatch2 Snatch Push Press + 1 Pause OHS + 1 Pause Snatch Balance @ 68% 1 RM Snatch2 Snatch Push Press + 1 Pause OHS + 1 Pause Snatch Balance @ 70% 1 RM Snatch1 Snatch Push Press + 1 Pause OHS + 1 Pause Snatch Balance @ 73-75% 1 RM Snatch*All pauses are for 2 seconds at bottom of squat position,95,95,Load,Snatch Push Press + Pause Overhead Squat + Pause Snatch Balance,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95}]",,SCALED,
12/07/2022,Jake LockHURT  (Open & QuarterFinals),"* Repeat from September 18, 2020 Masters 35-441000m Row75 Wall Balls (20/14) (10’)50 Lateral Burpees Over Rower25 Ring Muscle UpsMasters 45-541000m Row70 Wall Balls (20/14) (10’)45 Lateral Burpees Over Rower20 Ring Muscle UpsMasters 55-641000m Row60 Wall Balls (20/14) (10’)40 Lateral Burpees Over Rower15 Ring Muscle Ups or 15 Burpee Pull UpsMasters 65+1000m Row50 Wall Balls (20/14) (10’)30 Lateral Burpees Over Rower12 Ring Muscle Ups or 12 Burpee Pull Ups",1264,21:04,,,"[{""secs"":4,""mins"":21}]",WB 16 lbRing dips,SCALED,
12/11/2022,BikeErg: Lactate Threshold,"2 Rounds 3x (3 Min at RPE7.5, 2 Min at RPE7)*Rest 5 Min at RPE2 between rounds.Total: 35 Min",19870,19870,Meters,,"[{""meters"":19870}]",,RX,
12/12/2022,Polar Bear (Open & QuarterFinals),Masters 35-443 rounds10 Front Squats (135/95)10 Toes to Bar 10 Bar Facing Burpees-rest until minute 7-For Time:30 Bar Facing Burpees30 Toes to Bar30 Front Squats (135/95)Masters 45-543 rounds10 Front Squats (135/95)8 Toes to Bar 8 Bar Facing Burpees-rest until minute 7-For Time:24 Bar Facing Burpees24 Toes to Bar30 Front Squats (135/95)Masters 55-643 rounds10 Front Squats (95/65)8 Toes to Bar 8 Bar Facing Burpees-rest until minute 7-For Time:24 Bar Facing Burpees24 Toes to Bar30 Front Squats (95/65)Masters 65+3 rounds10 Front Squats (95/65)7 Toes to Bar 7 Bar Facing Burpees-rest until minute 7-For Time:21 Bar Facing Burpees21 Toes to Bar30 Front Squats (95/65),725,12:05,,,"[{""secs"":5,""mins"":6},{""secs"":0,""mins"":6}]",knees to elbowsTC 6”24 Bar Facing Burpees24 Toes to Bar9 Front Squats (135/95),SCALED,
12/12/2022,Snatch Pull + Snatch High Pull + Snatch 4-4-3-3-3,1 Snatch Pull + 1 Snatch High Pull + 2 Snatch @ 65% 1 RM Snatch1 Snatch Pull + 1 Snatch High Pull + 2 Snatch @ 70% 1 RM Snatch1 Snatch Pull + 1 Snatch High Pull + 1 Snatch @ 73% 1 RM Snatch1 Snatch Pull + 1 Snatch High Pull + 1 Snatch @ 75% 1 RM Snatch1 Snatch Pull + 1 Snatch High Pull + 1 Snatch @ 78-80% 1 RM Snatch,95,95,Load,Snatch Pull + Snatch High Pull + Snatch,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]",,SCALED,
12/13/2022,Clean Deadlift + Clean Pull 5-5-4-4-4,2 Clean Deadlift + 3 Clean Pull @ 90% 1 RM Clean2 Clean Deadlift + 3 Clean Pull @ 90% 1 RM Clean2 Clean Deadlift + 2 Clean Pull @ 95% 1 RM Clean2 Clean Deadlift + 2 Clean Pull @ 95% 1 RM Clean2 Clean Deadlift + 2 Clean Pull @ 95% 1 RM Clean,115,115,Load,Clean Deadlift + Clean Pull,"[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,SCALED,
12/13/2022,Clean Pull + Clean + Jerk 4-4-3-3-3,2 Clean Pull + 1 Clean + 1 Jerk @ 70% 1 RM Clean and Jerk2 Clean Pull + 1 Clean + 1 Jerk @ 75% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 80% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 83% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 85-88% 1 RM Clean and Jerk,115,115,Load,Clean Pull + Clean + Jerk,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,SCALED,
12/13/2022,Arctic Fox (Open & QuarterFinals),Masters 35-444 setsAMRAP 2 Minutes20 Double Dumbbell Front Rack Box Step Ups (2x35/20) (24/20)Max Wall Facing Strict Handstand Push Ups-rest 1 minute between sets-Masters 45-54Complete as written aboveMasters 55-64Complete as written aboveMasters 65+4 setsAMRAP 2 Minutes20 Double Dumbbell Front Rack Box Step Ups (2x25/15) (24/20)Max Strict Handstand Push Ups-rest 1 minute between sets-,104,104,Reps,,"[{""reps"":25},{""reps"":26},{""reps"":26},{""reps"":27}]",25 LB DBBox 20”,SCALED,
12/14/2022,Weighted Push Ups + Weighted Chin Ups 17-17-17-17,10 Weighted Push Ups + 7 Weighted Chin Ups10 Weighted Push Ups + 7 Weighted Chin Ups10 Weighted Push Ups + 7 Weighted Chin Ups10 Weighted Push Ups + 7 Weighted Chin Ups,0,,Other / Text,,[{}],Rings push-upsParallels push-upsRegular chin-ups ,SCALED,
12/14/2022,Narwhal (Open & QuarterFinals),Masters 35-44AMRAP 10 Minutes5 Bar Muscle Ups10 Shuttle Runs (25’)Masters 45-54AMRAP 10 Minutes4 Bar Muscle Ups10 Shuttle Runs (25’)Masters 55-64AMRAP 10 Minutes4 Bar Muscle Ups or 4 Burpee Pull Ups10 Shuttle Runs (25’)Masters 65+AMRAP 10 Minutes2 Bar Muscle Ups or 4 Burpee Pull Ups10 Shuttle Runs (25’),6,6,Rounds + Reps,,"[{""rnds"":6,""reps"":0}]",3 Jumping box MU6 shuttle runs ,SCALED,
12/14/2022,Back Rack Bulgarian Split Squats + Single Arm Suitcase Hold Heel Elevated Squats (Use heavy DB) 20-20-20-20,10 Back Rack Bulgarian Split Squats + 10 Single Arm Suitcase Hold Heel Elevated Squats10 Back Rack Bulgarian Split Squats + 10 Single Arm Suitcase Hold Heel Elevated Squats10 Back Rack Bulgarian Split Squats + 10 Single Arm Suitcase Hold Heel Elevated Squats10 Back Rack Bulgarian Split Squats + 10 Single Arm Suitcase Hold Heel Elevated Squats*10 each leg for Split Squat + 10 each arm for Squats.,0,,Other / Text,,"[{""other"":""""}]","Empty bar30,35,40 & 50 LB DB ",SCALED,
12/17/2022,Snatch 1x1,Option A - Build to a 9-9.5/10 RPE,125,125,Load,Snatch,"[{""success"":true,""load"":125}]",,SCALED,
12/19/2022,Snatch Balance + Overhead Squats 4-4-3-3-3,2 Snatch Balance + 2 Overhead Squat @ 60% 1 RM Snatch2 Snatch Balance + 2 Overhead Squat @ 65% 1 RM Snatch2 Snatch Balance + 1 Overhead Squat @ 70% 1 RM Snatch2 Snatch Balance + 1 Overhead Squat @ 70% 1 RM Snatch2 Snatch Balance + 1 Overhead Squat @ 70-75% 1 RM Snatch,95,95,Load,Snatch Balance + Overhead Squats,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95}]",,SCALED,
12/19/2022,Snatch Lift Off + Snatch Pull + Snatch 4-4-3-3-3,1 Snatch Lift off (1” off the ground)  + 1 Snatch Pull + 2 Snatch @ 60% 1 RM Snatch1 Snatch Lift off (1” off the ground)  + 1 Snatch Pull + 2 Snatch @ 60% 1 RM Snatch1 Snatch Lift off (1” off the ground)  + 1 Snatch Pull + 1 Snatch @ 65% 1 RM Snatch1 Snatch Lift off (1” off the ground)  + 1 Snatch Pull + 1 Snatch @ 65% 1 RM Snatch1 Snatch Lift off (1” off the ground)  + 1 Snatch Pull + 1 Snatch @ 70% 1 RM Snatch,95,95,Load,Snatch Lift Off + Snatch Pull + Snatch,"[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]",,SCALED,
12/19/2022,Pause Front Squat + 1 ¼ Front Squat + Front Squat 4-4-3-3-3,1 Pause Front Squat + 1 ¼ front squat + 2 Front Squat @ 60% 1 RM Front Squat 1 Pause Front Squat + 1 ¼ front squat + 2 Front Squat @ 60% 1 RM Front Squat 1 Pause Front Squat + 1 ¼ front squat + 1 Front Squat @ 65% 1 RM Front Squat 1 Pause Front Squat + 1 ¼ front squat + 1 Front Squat @ 70% 1 RM Front Squat 1 Pause Front Squat + 1 ¼ front squat + 1 Front Squat @ 70-75% 1 RM Front Squat* Pause is for 3 seconds in the bottom of the squat,125,125,Load,Pause Front Squat + 1 ¼ Front Squat + Front Squat,"[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125}]",,SCALED,
